1,¿Cuál de las siguientes actividades prefieres?,Diseñar un experimento científico,Escribir una historia o poema,Resolver problemas matemáticos,Dibujar o pintar una obra de arte
2,¿Qué tipo de ambiente de trabajo prefieres?,Un laboratorio de investigación,Una sala de redacción o una biblioteca,Una oficina de contabilidad,Un estudio de arte o diseño
3,¿Qué actividad disfrutas más en tu tiempo libre?,Realizar experimentos caseros,Leer y escribir,Resolver puzzles o acertijos,Crear manualidades o proyectos artísticos
4,¿Qué te resulta más gratificante?,Descubrir cómo funcionan las cosas,Expresar ideas y sentimientos a través de palabras,Encontrar soluciones a problemas numéricos,Producir obras visualmente atractivas
5,¿Cuál de estos hobbies prefieres?,Experimentar con química o física,Escribir blogs o artículos,Jugar juegos de lógica y estrategia,"Dibujar, pintar o hacer esculturas"
6,¿Qué tipo de libros te gustan más?,Libros de ciencia o tecnología,Novelas y poesía,Libros de matemáticas o lógica,Libros de arte o diseño
7,¿Qué tipo de película prefieres ver?,Documentales científicos,Películas basadas en novelas,Películas de misterio o ciencia ficción,Películas de arte y creatividad
8,¿Qué actividad preferirías hacer en un proyecto escolar?,Investigar y presentar un tema científico,Escribir y presentar un informe,Resolver problemas matemáticos,Crear una presentación visual o artística
9,¿Qué habilidad consideras que tienes más desarrollada?,Habilidad para investigar y experimentar,Habilidad para comunicar ideas de manera escrita,Habilidad para resolver problemas lógicos,Habilidad para crear y diseñar cosas nuevas
10,¿Qué tipo de trabajo te gustaría hacer en el futuro?,Científico o investigador,Escritor o periodista,Matemático o ingeniero,Artista o diseñador gráfico
11,¿Cómo prefieres aprender?,Haciendo experimentos y prácticas,Leyendo y escribiendo,Resolviendo problemas y ejercicios,Creando y diseñando
12,¿Qué te motiva más en una actividad?,Descubrir nuevos conocimientos,Expresar y comunicar ideas,Encontrar soluciones a problemas complejos,Crear algo visualmente atractivo y original